Timestamp(ms),Sensor,Temp(C),Humidity(%),Pressure(hPa),Gas(Ohm/Analog)
3054,MQ2,0.00,0.00,0.00,3503.00
6054,MQ2,0.00,0.00,0.00,3455.00
9054,MQ2,0.00,0.00,0.00,3442.00
3031,MQ2,0.00,0.00,0.00,3138.00
6031,MQ2,0.00,0.00,0.00,3129.00
9031,MQ2,0.00,0.00,0.00,3102.00
12031,MQ2,0.00,0.00,0.00,3083.00
15031,MQ2,0.00,0.00,0.00,3047.00
18031,MQ2,0.00,0.00,0.00,3030.00
21031,MQ2,0.00,0.00,0.00,3019.00
24031,MQ2,0.00,0.00,0.00,2995.00
27031,MQ2,0.00,0.00,0.00,3061.00
30031,MQ2,0.00,0.00,0.00,2981.00
33031,MQ2,0.00,0.00,0.00,2966.00
36031,MQ2,0.00,0.00,0.00,3090.00
39031,MQ2,0.00,0.00,0.00,3061.00
42031,MQ2,0.00,0.00,0.00,3051.00
45031,MQ2,0.00,0.00,0.00,2928.00
48031,MQ2,0.00,0.00,0.00,2907.00
51031,MQ2,0.00,0.00,0.00,2854.00
54031,MQ2,0.00,0.00,0.00,2892.00
57031,MQ2,0.00,0.00,0.00,2894.00
60031,MQ2,0.00,0.00,0.00,2815.00
63031,MQ2,0.00,0.00,0.00,2774.00
66031,MQ2,0.00,0.00,0.00,2861.00
69031,MQ2,0.00,0.00,0.00,2867.00
72031,MQ2,0.00,0.00,0.00,2875.00
75031,MQ2,0.00,0.00,0.00,2871.00
78031,MQ2,0.00,0.00,0.00,2869.00
81031,MQ2,0.00,0.00,0.00,2853.00
84031,MQ2,0.00,0.00,0.00,2816.00
87031,MQ2,0.00,0.00,0.00,2815.00
90031,MQ2,0.00,0.00,0.00,2806.00
93031,MQ2,0.00,0.00,0.00,2780.00
96031,MQ2,0.00,0.00,0.00,2768.00
99031,MQ2,0.00,0.00,0.00,2765.00
102031,MQ2,0.00,0.00,0.00,2743.00
105031,MQ2,0.00,0.00,0.00,2729.00
108031,MQ2,0.00,0.00,0.00,2708.00
111031,MQ2,0.00,0.00,0.00,2672.00
114031,MQ2,0.00,0.00,0.00,2647.00
117031,MQ2,0.00,0.00,0.00,2640.00
120031,MQ2,0.00,0.00,0.00,2619.00
123031,MQ2,0.00,0.00,0.00,2590.00
126031,MQ2,0.00,0.00,0.00,2559.00
129031,MQ2,0.00,0.00,0.00,2591.00
132031,MQ2,0.00,0.00,0.00,2597.00
135031,MQ2,0.00,0.00,0.00,2559.00
138031,MQ2,0.00,0.00,0.00,2546.00
141031,MQ2,0.00,0.00,0.00,2529.00
144031,MQ2,0.00,0.00,0.00,2539.00
147031,MQ2,0.00,0.00,0.00,2538.00
150031,MQ2,0.00,0.00,0.00,2529.00
153031,MQ2,0.00,0.00,0.00,2513.00
156031,MQ2,0.00,0.00,0.00,2514.00
159031,MQ2,0.00,0.00,0.00,2493.00
162031,MQ2,0.00,0.00,0.00,2459.00
165031,MQ2,0.00,0.00,0.00,2443.00
168031,MQ2,0.00,0.00,0.00,2442.00
171031,MQ2,0.00,0.00,0.00,2431.00
174031,MQ2,0.00,0.00,0.00,2416.00
177031,MQ2,0.00,0.00,0.00,2423.00
180031,MQ2,0.00,0.00,0.00,2403.00
183031,MQ2,0.00,0.00,0.00,2393.00
186031,MQ2,0.00,0.00,0.00,2389.00
189031,MQ2,0.00,0.00,0.00,2373.00
192031,MQ2,0.00,0.00,0.00,2369.00
195031,MQ2,0.00,0.00,0.00,2352.00
198031,MQ2,0.00,0.00,0.00,2341.00
201031,MQ2,0.00,0.00,0.00,2320.00
204031,MQ2,0.00,0.00,0.00,2299.00
207031,MQ2,0.00,0.00,0.00,2313.00
210031,MQ2,0.00,0.00,0.00,2283.00
213031,MQ2,0.00,0.00,0.00,2277.00
216031,MQ2,0.00,0.00,0.00,2262.00
219031,MQ2,0.00,0.00,0.00,2254.00
222031,MQ2,0.00,0.00,0.00,2251.00
225031,MQ2,0.00,0.00,0.00,2225.00
228031,MQ2,0.00,0.00,0.00,2236.00
231031,MQ2,0.00,0.00,0.00,2229.00
234031,MQ2,0.00,0.00,0.00,2210.00
237031,MQ2,0.00,0.00,0.00,2194.00
240031,MQ2,0.00,0.00,0.00,2192.00
243031,MQ2,0.00,0.00,0.00,2192.00
246031,MQ2,0.00,0.00,0.00,2249.00
249031,MQ2,0.00,0.00,0.00,2327.00
252031,MQ2,0.00,0.00,0.00,2365.00
255031,MQ2,0.00,0.00,0.00,2361.00
258031,MQ2,0.00,0.00,0.00,2368.00
261031,MQ2,0.00,0.00,0.00,2381.00
264031,MQ2,0.00,0.00,0.00,2374.00
267031,MQ2,0.00,0.00,0.00,2357.00
270031,MQ2,0.00,0.00,0.00,2347.00
273031,MQ2,0.00,0.00,0.00,2335.00
276031,MQ2,0.00,0.00,0.00,2319.00
279031,MQ2,0.00,0.00,0.00,2303.00
282031,MQ2,0.00,0.00,0.00,2297.00
285031,MQ2,0.00,0.00,0.00,2267.00
288031,MQ2,0.00,0.00,0.00,2263.00
291031,MQ2,0.00,0.00,0.00,2242.00
294031,MQ2,0.00,0.00,0.00,2245.00
297031,MQ2,0.00,0.00,0.00,2231.00
300031,MQ2,0.00,0.00,0.00,2207.00
303031,MQ2,0.00,0.00,0.00,2202.00
306031,MQ2,0.00,0.00,0.00,2173.00
309031,MQ2,0.00,0.00,0.00,2167.00
312031,MQ2,0.00,0.00,0.00,2160.00
315031,MQ2,0.00,0.00,0.00,2130.00
318031,MQ2,0.00,0.00,0.00,2125.00
321031,MQ2,0.00,0.00,0.00,2103.00
324031,MQ2,0.00,0.00,0.00,2101.00
327031,MQ2,0.00,0.00,0.00,2101.00
330031,MQ2,0.00,0.00,0.00,2097.00
333031,MQ2,0.00,0.00,0.00,2082.00
336031,MQ2,0.00,0.00,0.00,2064.00
339031,MQ2,0.00,0.00,0.00,2071.00
342031,MQ2,0.00,0.00,0.00,2057.00
345031,MQ2,0.00,0.00,0.00,2036.00
348031,MQ2,0.00,0.00,0.00,2018.00
351031,MQ2,0.00,0.00,0.00,2005.00
354031,MQ2,0.00,0.00,0.00,2007.00
357031,MQ2,0.00,0.00,0.00,1973.00
360031,MQ2,0.00,0.00,0.00,1758.00
363031,MQ2,0.00,0.00,0.00,1709.00
366031,MQ2,0.00,0.00,0.00,2115.00
369031,MQ2,0.00,0.00,0.00,1989.00
372031,MQ2,0.00,0.00,0.00,1767.00
375031,MQ2,0.00,0.00,0.00,1682.00
378031,MQ2,0.00,0.00,0.00,1653.00
381031,MQ2,0.00,0.00,0.00,1631.00
384031,MQ2,0.00,0.00,0.00,1617.00
387031,MQ2,0.00,0.00,0.00,1606.00
390031,MQ2,0.00,0.00,0.00,1598.00
393031,MQ2,0.00,0.00,0.00,1586.00
396031,MQ2,0.00,0.00,0.00,1581.00
399031,MQ2,0.00,0.00,0.00,1569.00
402031,MQ2,0.00,0.00,0.00,1566.00
405031,MQ2,0.00,0.00,0.00,1535.00
