timestamp(ms),Livello Fumo,
"1775743127.839","338",
"1775743127.846","339",
"1775743127.856","339",
"1775743127.866","340",
"1775743127.876","339",
"1775743127.886","340",
"1775743127.896","339",
"1775743127.906","339",
"1775743127.916","339",
"1775743127.926","341",
"1775743127.936","338",
"1775743127.946","341",
"1775743127.956","339",
"1775743127.966","339",
"1775743127.976","338",
"1775743127.986","338",
"1775743127.996","340",
"1775743128.006","339",
"1775743128.016","340",
"1775743128.026","340",
"1775743128.036","339",
"1775743128.046","339",
"1775743128.056","340",
"1775743128.066","340",
"1775743128.076","339",
"1775743128.086","339",
"1775743128.096","339",
"1775743128.106","339",
"1775743128.116","339",
"1775743128.126","339",
"1775743128.136","338",
"1775743128.146","339",
"1775743128.156","339",
"1775743128.166","340",
"1775743128.176","340",
"1775743128.186","339",
"1775743128.196","339",
"1775743128.206","340",
"1775743128.216","338",
"1775743128.226","339",
"1775743128.236","339",
"1775743128.246","339",
"1775743128.256","339",
"1775743128.266","340",
"1775743128.276","339",
"1775743128.286","338",
"1775743128.296","340",
"1775743128.306","340",
"1775743128.316","340",
"1775743128.326","341",
"1775743128.336","338",
"1775743128.346","340",
"1775743128.356","338",
"1775743128.366","338",
"1775743128.376","339",
"1775743128.386","339",
"1775743128.396","339",
"1775743128.406","341",
"1775743128.416","339",
"1775743128.426","339",
"1775743128.436","339",
"1775743128.446","337",
"1775743128.456","339",
"1775743128.466","338",
"1775743128.476","339",
"1775743128.486","337",
"1775743128.496","340",
"1775743128.506","339",
"1775743128.516","339",
"1775743128.526","339",
"1775743128.536","339",
"1775743128.546","338",
"1775743128.556","339",
"1775743128.566","338",
"1775743128.576","340",
"1775743128.586","339",
"1775743128.596","339",
"1775743128.606","340",
"1775743128.616","339",
"1775743128.626","339",
"1775743128.636","338",
"1775743128.646","338",
"1775743128.656","339",
"1775743128.666","340",
"1775743128.676","339",
"1775743128.686","339",
"1775743128.696","339",
"1775743128.706","338",
"1775743128.716","338",
"1775743128.726","337",
"1775743128.736","338",
"1775743128.746","338",
"1775743128.756","340",
"1775743128.766","341",
"1775743128.776","339",
"1775743128.786","338",
"1775743128.796","339",
"1775743128.806","340",
"1775743128.816","338",
"1775743128.826","340",
"1775743128.836","340",
"1775743128.846","340",
"1775743128.856","339",
"1775743128.866","340",
"1775743128.876","341",
"1775743128.886","339",
"1775743128.896","339",
"1775743128.906","339",
"1775743128.916","340",
"1775743128.926","339",
"1775743128.936","339",
"1775743128.946","339",
"1775743128.956","339",
"1775743128.966","339",
"1775743128.976","339",
"1775743128.986","340",
"1775743128.996","338",
"1775743129.006","339",
"1775743129.016","339",
"1775743129.026","338",
"1775743129.036","339",
"1775743129.046","339",
"1775743129.056","336",
"1775743129.066","339",
"1775743129.076","338",
"1775743129.086","340",
"1775743129.096","338",
"1775743129.106","339",
"1775743129.116","338",
"1775743129.126","338",
"1775743129.136","340",
"1775743129.146","339",
"1775743129.156","339",
"1775743129.166","338",
"1775743129.176","339",
"1775743129.186","336",
"1775743129.196","339",
"1775743129.206","340",
"1775743129.216","339",
"1775743129.226","339",
"1775743129.236","339",
"1775743129.246","340",
"1775743129.256","339",
"1775743129.266","339",
"1775743129.276","339",
"1775743129.286","339",
"1775743129.296","338",
"1775743129.306","338",
"1775743129.316","339",
"1775743129.326","339",
"1775743129.336","339",
"1775743129.346","339",
"1775743129.356","339",
"1775743129.366","341",
"1775743129.376","338",
"1775743129.386","339",
"1775743129.396","338",
"1775743129.406","338",
"1775743129.416","339",
"1775743129.426","339",
"1775743129.436","340",
"1775743129.446","338",
"1775743129.456","338",
"1775743129.466","338",
"1775743129.476","338",
"1775743129.486","339",
"1775743129.496","338",
"1775743129.506","338",
"1775743129.516","338",
"1775743129.526","339",
"1775743129.536","339",
"1775743129.546","339",
"1775743129.556","339",
"1775743129.566","338",
"1775743129.576","337",
"1775743129.586","339",
"1775743129.596","339",
"1775743129.606","339",
"1775743129.616","339",
"1775743129.626","340",
"1775743129.636","341",
"1775743129.646","339",
"1775743129.656","341",
"1775743129.666","340",
"1775743129.676","339",
"1775743129.686","339",
"1775743129.696","339",
"1775743129.706","339",
"1775743129.716","341",
"1775743129.726","338",
"1775743129.736","339",
"1775743129.746","340",
"1775743129.756","338",
"1775743129.766","338",
"1775743129.776","339",
"1775743129.786","339",
"1775743129.796","336",
"1775743129.806","339",
"1775743129.816","338",
"1775743129.826","340",
"1775743129.836","339",
"1775743129.846","340",
"1775743129.856","339",
"1775743129.866","336",
"1775743129.876","338",
"1775743129.886","339",
"1775743129.896","338",
"1775743129.906","338",
"1775743129.916","337",
"1775743129.926","339",
"1775743129.936","339",
"1775743129.946","339",
"1775743129.956","339",
"1775743129.966","339",
"1775743129.976","338",
"1775743129.986","338",
"1775743129.996","339",
"1775743130.006","341",
"1775743130.016","340",
"1775743130.026","338",
"1775743130.036","340",
"1775743130.046","339",
"1775743130.056","341",
"1775743130.066","341",
"1775743130.076","338",
"1775743130.086","338",
"1775743130.096","339",
"1775743130.106","339",
"1775743130.116","339",
"1775743130.126","339",
"1775743130.136","339",
"1775743130.146","340",
"1775743130.156","338",
"1775743130.166","339",
"1775743130.176","338",
"1775743130.186","339",
"1775743130.196","338",
"1775743130.206","338",
"1775743130.216","341",
"1775743130.226","339",
"1775743130.236","339",
"1775743130.246","339",
"1775743130.256","340",
"1775743130.266","340",
"1775743130.276","339",
"1775743130.286","339",
"1775743130.296","340",
"1775743130.306","339",
"1775743130.316","338",
"1775743130.326","339",
"1775743130.336","339",
"1775743130.346","339",
"1775743130.356","339",
"1775743130.366","340",
"1775743130.376","339",
"1775743130.386","339",
"1775743130.396","339",
"1775743130.406","339",
"1775743130.416","338",
"1775743130.426","339",
"1775743130.436","340",
"1775743130.446","339",
"1775743130.456","335",
"1775743130.466","339",
"1775743130.476","338",
"1775743130.486","339",
"1775743130.496","338",
"1775743130.506","339",
"1775743130.516","338",
