timestamp(ms),Livello Fumo,
"1775735299.064","840",
"1775735299.156","838",
"1775735299.256","830",
"1775735299.356","839",
"1775735299.456","832",
"1775735299.556","830",
"1775735299.656","831",
"1775735299.756","831",
"1775735299.856","829",
"1775735299.956","828",
"1775735300.056","830",
"1775735300.156","830",
"1775735300.256","825",
"1775735300.356","829",
"1775735300.456","828",
"1775735300.556","827",
"1775735300.656","826",
"1775735300.756","824",
"1775735300.856","825",
"1775735300.956","825",
"1775735301.056","827",
"1775735301.156","824",
"1775735301.256","824",
"1775735301.356","822",
"1775735301.456","823",
"1775735301.556","821",
"1775735301.656","824",
"1775735301.756","820",
"1775735301.856","826",
"1775735301.956","815",
"1775735302.056","827",
"1775735302.156","811",
"1775735302.256","816",
"1775735302.356","821",
"1775735302.456","821",
"1775735302.556","813",
"1775735302.656","820",
"1775735302.756","814",
"1775735302.856","813",
"1775735302.956","814",
"1775735303.056","810",
"1775735303.156","814",
"1775735303.256","814",
"1775735303.356","812",
"1775735303.456","814",
"1775735303.556","813",
"1775735303.656","810",
"1775735303.756","811",
"1775735303.856","811",
"1775735303.956","809",
"1775735304.056","807",
"1775735304.156","807",
"1775735304.256","809",
"1775735304.356","808",
"1775735304.456","808",
"1775735304.556","805",
"1775735304.656","804",
"1775735304.756","807",
"1775735304.856","807",
"1775735304.956","800",
"1775735305.056","800",
"1775735305.156","805",
"1775735305.256","798",
"1775735305.356","798",
"1775735305.456","798",
"1775735305.556","798",
"1775735305.656","797",
"1775735305.756","796",
"1775735305.856","800",
"1775735305.956","797",
"1775735306.056","798",
"1775735306.156","799",
"1775735306.256","795",
"1775735306.356","799",
"1775735306.456","796",
"1775735306.556","792",
"1775735306.656","790",
"1775735306.756","789",
"1775735306.856","792",
"1775735306.956","790",
"1775735307.056","792",
"1775735307.156","793",
"1775735307.256","794",
"1775735307.356","796",
"1775735307.456","792",
"1775735307.556","792",
"1775735307.656","792",
"1775735307.756","792",
"1775735307.856","791",
"1775735307.956","787",
"1775735308.056","789",
"1775735308.156","786",
"1775735308.256","790",
"1775735308.356","789",
"1775735308.456","790",
"1775735308.556","788",
"1775735308.656","789",
"1775735308.756","787",
"1775735308.856","788",
"1775735308.956","787",
"1775735309.056","787",
"1775735309.156","782",
"1775735309.256","783",
"1775735309.356","781",
"1775735309.456","781",
"1775735309.556","781",
"1775735309.656","780",
"1775735309.756","784",
"1775735309.856","781",
"1775735309.956","782",
"1775735310.056","780",
"1775735310.156","779",
"1775735310.256","780",
"1775735310.356","778",
"1775735310.456","779",
"1775735310.556","779",
"1775735310.656","778",
"1775735310.756","777",
"1775735310.856","777",
"1775735310.956","777",
"1775735311.056","776",
"1775735311.156","767",
"1775735311.256","774",
"1775735311.356","776",
"1775735311.456","767",
"1775735311.556","768",
"1775735311.656","768",
"1775735311.756","768",
"1775735311.856","774",
"1775735311.956","766",
"1775735312.056","773",
"1775735312.156","764",
"1775735312.256","766",
"1775735312.356","767",
"1775735312.456","764",
"1775735312.556","763",
"1775735312.656","766",
"1775735312.756","760",
"1775735312.856","767",
"1775735312.956","763",
"1775735313.056","760",
"1775735313.156","766",
"1775735313.256","762",
"1775735313.356","763",
"1775735313.456","761",
"1775735313.556","776",
"1775735313.656","762",
"1775735313.756","757",
"1775735313.856","760",
"1775735313.956","759",
"1775735314.056","761",
"1775735314.156","758",
"1775735314.256","764",
"1775735314.356","757",
"1775735314.456","759",
"1775735314.556","759",
"1775735314.656","758",
"1775735314.756","756",
"1775735314.856","757",
"1775735314.956","758",
"1775735315.056","757",
"1775735315.156","757",
"1775735315.256","751",
"1775735315.356","751",
"1775735315.456","750",
"1775735315.556","752",
"1775735315.656","752",
"1775735315.756","751",
"1775735315.856","749",
"1775735315.956","748",
"1775735316.056","750",
"1775735316.156","748",
"1775735316.256","749",
"1775735316.356","750",
"1775735316.456","749",
"1775735316.556","747",
"1775735316.656","747",
"1775735316.756","748",
"1775735316.856","745",
"1775735316.956","745",
"1775735317.056","745",
"1775735317.156","749",
"1775735317.256","746",
"1775735317.356","743",
"1775735317.456","745",
"1775735317.556","745",
"1775735317.658","744",
"1775735317.756","747",
"1775735317.856","744",
"1775735317.956","743",
"1775735318.056","743",
"1775735318.156","745",
"1775735318.256","745",
"1775735318.356","744",
"1775735318.456","745",
"1775735318.556","741",
"1775735318.656","746",
"1775735318.756","741",
"1775735318.856","743",
"1775735318.956","742",
"1775735319.056","740",
"1775735319.156","743",
"1775735319.256","741",
"1775735319.356","740",
"1775735319.456","739",
"1775735319.556","738",
"1775735319.656","742",
"1775735319.756","740",
"1775735319.856","740",
"1775735319.956","740",
"1775735320.056","739",
"1775735320.156","740",
"1775735320.256","739",
"1775735320.356","739",
"1775735320.456","741",
"1775735320.556","740",
"1775735320.656","739",
"1775735320.756","735",
"1775735320.856","739",
"1775735320.956","730",
"1775735321.056","733",
"1775735321.156","735",
"1775735321.256","735",
"1775735321.356","731",
"1775735321.456","733",
"1775735321.556","733",
"1775735321.656","732",
"1775735321.756","729",
"1775735321.856","730",
"1775735321.956","730",
"1775735322.056","724",
"1775735322.156","728",
"1775735322.256","726",
"1775735322.356","728",
"1775735322.456","725",
"1775735322.556","724",
"1775735322.656","724",
"1775735322.756","725",
"1775735322.856","725",
"1775735322.956","726",
"1775735323.056","724",
"1775735323.156","724",
"1775735323.256","719",
"1775735323.356","724",
"1775735323.456","727",
"1775735323.556","724",
"1775735323.656","726",
"1775735323.756","725",
"1775735323.856","722",
"1775735323.956","725",
"1775735324.056","723",
"1775735324.156","724",
"1775735324.256","723",
"1775735324.356","722",
"1775735324.456","722",
"1775735324.556","723",
"1775735324.656","719",
"1775735324.756","716",
"1775735324.856","718",
"1775735324.956","719",
"1775735325.056","719",
"1775735325.156","722",
"1775735325.256","717",
"1775735325.356","713",
"1775735325.456","719",
"1775735325.556","715",
"1775735325.656","717",
"1775735325.756","715",
"1775735325.856","715",
"1775735325.956","711",
"1775735326.056","704",
"1775735326.156","704",
"1775735326.256","704",
"1775735326.356","714",
"1775735326.456","710",
"1775735326.556","710",
"1775735326.656","701",
"1775735326.756","702",
"1775735326.856","701",
"1775735326.956","700",
"1775735327.056","698",
"1775735327.156","701",
"1775735327.256","698",
"1775735327.356","698",
"1775735327.456","699",
"1775735327.556","695",
"1775735327.656","699",
"1775735327.756","694",
"1775735327.856","702",
"1775735327.956","698",
"1775735328.056","700",
"1775735328.156","698",
"1775735328.256","693",
"1775735328.356","694",
"1775735328.456","697",
"1775735328.556","698",
"1775735328.656","695",
"1775735328.756","694",
"1775735328.856","687",
"1775735328.956","700",
"1775735329.056","697",
"1775735329.156","696",
"1775735329.256","692",
"1775735329.356","697",
"1775735329.456","696",
"1775735329.556","694",
"1775735329.656","695",
"1775735329.756","693",
"1775735329.856","685",
"1775735329.956","684",
"1775735330.056","688",
"1775735330.156","696",
"1775735330.256","695",
"1775735330.356","693",
"1775735330.456","695",
"1775735330.556","696",
"1775735330.656","689",
"1775735330.756","699",
"1775735330.856","688",
"1775735330.956","693",
"1775735331.057","694",
"1775735331.156","693",
"1775735331.257","696",
"1775735331.357","692",
"1775735331.456","688",
"1775735331.557","692",
"1775735331.657","693",
"1775735331.757","688",
"1775735331.856","692",
"1775735331.957","688",
"1775735332.057","687",
"1775735332.157","686",
"1775735332.256","691",
"1775735332.357","685",
"1775735332.457","689",
"1775735332.557","687",
"1775735332.657","686",
"1775735332.757","691",
"1775735332.857","686",
"1775735332.957","688",
"1775735333.057","686",
"1775735333.157","687",
"1775735333.257","686",
"1775735333.357","685",
"1775735333.457","686",
"1775735333.557","682",
"1775735333.657","685",
"1775735333.757","685",
"1775735333.857","679",
"1775735333.957","682",
"1775735334.057","683",
"1775735334.157","685",
"1775735334.257","686",
"1775735334.357","684",
"1775735334.457","682",
"1775735334.557","682",
"1775735334.657","683",
"1775735334.757","680",
"1775735334.857","680",
"1775735334.957","679",
"1775735335.057","680",
"1775735335.157","680",
"1775735335.257","680",
"1775735335.357","678",
"1775735335.457","679",
"1775735335.557","678",
"1775735335.657","678",
"1775735335.757","672",
"1775735335.857","676",
"1775735335.957","678",
"1775735336.057","675",
"1775735336.157","677",
"1775735336.257","677",
"1775735336.357","675",
"1775735336.457","675",
"1775735336.557","686",
"1775735336.657","678",
"1775735336.757","668",
"1775735336.857","676",
"1775735336.957","671",
"1775735337.057","669",
"1775735337.157","676",
"1775735337.257","670",
"1775735337.357","675",
"1775735337.457","675",
"1775735337.557","672",
"1775735337.657","667",
"1775735337.757","672",
"1775735337.857","671",
"1775735337.957","668",
"1775735338.057","669",
"1775735338.157","668",
"1775735338.257","671",
"1775735338.357","672",
"1775735338.457","668",
"1775735338.557","669",
"1775735338.657","669",
"1775735338.757","667",
"1775735338.857","667",
"1775735338.957","667",
"1775735339.057","669",
"1775735339.157","669",
