Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779966986.3820858,Bus Voltage,Shunt Voltage,Current,Power
1779966986.385639,0.028,-0.040,-0.100,0.000
1779966986.3888204,0.032,-0.040,-0.400,0.000
1779966986.3928077,0.024,-0.020,-0.300,0.000
1779966986.3967953,0.032,-0.040,-0.300,0.000
1779966986.4005268,0.024,-0.030,-0.400,0.000
1779966986.4037895,0.028,-0.030,-0.400,0.000
1779966986.4077358,0.028,-0.010,-0.300,0.000
1779966986.4115968,0.028,-0.050,-0.300,0.000
1779966986.4147606,0.028,-0.040,-0.200,0.000
1779966986.418741,0.028,-0.050,-0.200,0.000
1779966986.4225872,0.028,-0.020,-0.300,0.000
1779966986.4257584,0.028,-0.020,-0.200,0.000
1779966986.4298332,0.028,-0.030,0.000,0.000
1779966986.4336092,0.028,-0.020,-0.200,0.000
1779966986.4367783,0.024,-0.030,-0.200,0.000
1779966986.4408233,0.028,-0.050,-0.300,0.000
1779966986.4453945,0.032,-0.040,-0.400,0.000
1779966986.4484487,0.024,-0.060,-0.300,0.000
1779966986.4523542,0.028,-0.020,-0.200,0.000
1779966986.4561684,0.028,-0.030,-0.400,0.000
1779966986.4594324,0.028,-0.040,-0.200,0.000
1779966986.4632816,0.028,-0.030,-0.500,0.000
1779966986.4669678,0.028,-0.060,-0.300,0.000
1779966986.4700308,0.028,-0.040,-0.100,0.000
1779966986.4738724,0.028,-0.020,-0.200,0.000
1779966986.478392,0.028,-0.060,0.000,0.000
1779966986.481424,0.024,-0.030,-0.200,0.000
1779966986.485399,0.028,-0.020,-0.300,0.000
1779966986.4888916,0.028,-0.040,-0.400,0.000
1779966986.4930189,0.028,-0.040,-0.300,0.000
1779966986.496439,0.028,-0.010,-0.200,0.000
1779966986.500383,0.028,-0.040,-0.400,0.000
1779966986.5037446,0.024,-0.040,-0.300,0.000
1779966986.5068843,0.028,-0.010,-0.200,0.000
1779966986.5108962,0.028,-0.030,-0.600,0.000
