Timestamp_Unix,Bus_V,Shunt_mV,Current_mA,Power_mW
1779968547.716374,5.068,0.960,9.700,50.000
1779968547.7204428,5.064,3.320,50.800,256.000
1779968547.7235887,5.064,2.320,23.200,118.000
1779968547.727309,5.064,2.350,23.900,124.000
1779968547.7313187,5.064,2.490,24.100,122.000
1779968547.7344253,5.064,2.550,25.300,132.000
1779968547.7384398,5.064,2.390,23.600,118.000
1779968547.7423232,5.064,2.340,23.500,118.000
1779968547.745419,5.056,5.620,58.800,298.000
1779968547.7494047,5.052,5.890,59.000,298.000
1779968547.7533574,5.056,4.690,46.900,240.000
1779968547.756445,5.052,4.680,80.600,406.000
1779968547.760593,5.040,8.500,84.800,430.000
1779968547.7642782,5.040,8.520,85.000,430.000
1779968547.7674375,5.044,8.540,85.100,430.000
1779968547.771466,5.040,8.510,85.200,430.000
1779968547.775183,5.040,7.960,89.500,452.000
1779968547.778472,5.040,8.850,89.000,448.000
1779968547.7824275,5.040,8.990,89.900,452.000
1779968547.785777,5.040,9.040,89.700,452.000
1779968547.789454,5.040,9.040,89.600,452.000
1779968547.7933793,5.056,4.460,44.400,226.000
1779968547.7964678,5.056,4.480,44.600,226.000
1779968547.8006332,5.056,4.450,44.600,222.000
1779968547.8045435,5.056,4.440,44.500,226.000
1779968547.8074875,5.056,4.430,44.600,226.000
1779968547.811486,5.056,4.450,44.500,226.000
1779968547.815339,5.056,4.470,44.700,226.000
1779968547.8185098,5.056,4.440,44.400,226.000
1779968547.822657,5.056,4.450,44.300,222.000
1779968547.8266687,5.056,4.420,44.500,226.000
1779968547.8294814,5.056,4.440,44.700,226.000
1779968547.8334444,5.056,4.450,44.400,226.000
1779968547.837273,5.056,4.450,44.400,226.000
1779968547.8404145,5.052,4.440,44.500,226.000
1779968547.844476,5.056,4.500,44.400,226.000
1779968547.8482335,5.060,4.460,44.400,226.000
1779968547.85144,5.056,4.450,44.400,222.000
1779968547.855435,5.056,4.450,44.200,222.000
1779968547.8584995,5.052,4.410,44.400,226.000
1779968547.8624759,5.056,4.460,44.500,226.000
1779968547.8664117,5.056,4.460,44.600,226.000
1779968547.869462,5.056,4.420,44.200,226.000
1779968547.8734403,5.060,4.440,44.300,222.000
1779968547.8773732,5.056,4.430,44.800,226.000
1779968547.880618,5.060,4.430,44.400,226.000
1779968547.8844383,5.056,4.430,44.700,226.000
1779968547.8883326,5.060,4.420,44.500,226.000
1779968547.8914523,5.060,4.430,44.500,226.000
1779968547.8954647,5.056,4.450,44.600,226.000
1779968547.899411,5.060,4.460,44.700,226.000
1779968547.9025187,5.056,4.460,44.800,226.000
1779968547.906522,5.056,4.430,44.500,226.000
1779968547.9103074,5.060,4.450,44.600,226.000
1779968547.9134963,5.056,4.430,44.700,226.000
1779968547.9175267,5.056,4.440,44.400,226.000
1779968547.9213288,5.056,4.430,44.300,222.000
1779968547.9244182,5.056,4.440,44.300,222.000
1779968547.928417,5.056,4.420,44.200,226.000
1779968547.9322195,5.056,4.430,44.400,226.000
1779968547.935397,5.056,4.420,44.500,226.000
1779968547.939573,5.056,4.420,44.300,222.000
1779968547.9425297,5.056,4.430,44.500,226.000
1779968547.9464264,5.056,4.460,44.500,226.000
1779968547.9505103,5.056,4.450,44.500,226.000
1779968547.9534628,5.056,4.460,44.300,222.000
1779968547.957549,5.056,4.440,44.400,226.000
1779968547.9613783,5.056,4.470,44.300,226.000
1779968547.9644837,5.056,4.440,44.700,226.000
1779968547.968437,5.056,4.460,44.500,226.000
1779968547.972392,5.056,4.460,44.000,222.000
1779968547.9754558,5.056,4.430,44.600,222.000
1779968547.9794228,5.056,4.470,44.700,226.000
1779968547.983133,5.056,4.470,44.600,226.000
1779968547.9864507,5.056,4.450,44.500,226.000
1779968547.9908485,5.056,4.430,44.300,222.000
1779968547.99425,5.056,4.420,44.400,226.000
1779968547.9975307,5.052,4.480,44.700,226.000
1779968548.0015404,5.056,4.440,44.400,226.000
1779968548.0045166,5.060,4.450,44.600,226.000
1779968548.0085635,5.056,4.440,44.500,226.000
1779968548.012547,5.056,4.450,44.200,222.000
1779968548.0154955,5.056,4.460,44.600,226.000
1779968548.0196304,5.056,4.480,44.600,226.000
1779968548.0233874,5.056,4.460,44.400,226.000
1779968548.0264096,5.056,4.470,44.300,226.000
1779968548.0304098,5.056,4.450,44.700,226.000
1779968548.0342348,5.056,4.460,44.600,222.000
1779968548.0374308,5.056,4.450,44.500,226.000
1779968548.041413,5.056,4.430,44.700,226.000
1779968548.0453417,5.056,4.470,44.700,226.000
1779968548.0485005,5.056,4.470,44.700,226.000
1779968548.0524971,5.056,4.490,44.500,226.000
1779968548.0563247,5.056,4.460,44.700,226.000
1779968548.0594742,5.056,4.440,44.300,222.000
1779968548.0634868,5.056,4.440,44.500,226.000
1779968548.0673199,5.056,4.470,44.700,226.000
1779968548.0703828,5.056,4.440,44.300,222.000
1779968548.0745718,5.056,4.450,44.300,222.000
1779968548.0774949,5.056,4.420,44.400,226.000
1779968548.081394,5.052,4.440,44.400,226.000
1779968548.0854769,5.056,4.470,44.500,226.000
1779968548.08846,5.056,4.460,44.700,226.000
1779968548.092457,5.056,4.450,44.300,226.000
1779968548.0965068,5.056,4.440,44.400,226.000
1779968548.0994976,5.056,4.440,44.600,226.000
1779968548.1034586,5.056,4.440,44.400,222.000
1779968548.1074429,5.056,4.440,44.600,226.000
1779968548.1105027,5.056,4.430,44.200,222.000
1779968548.1144736,5.056,4.460,44.300,222.000
1779968548.1184475,5.056,4.450,44.500,226.000
1779968548.1214108,5.052,4.460,44.500,226.000
1779968548.1254737,5.056,4.460,44.500,226.000
1779968548.1292806,5.060,4.440,44.100,222.000
1779968548.1324236,5.056,4.440,44.400,226.000
1779968548.1367333,5.056,4.450,44.600,226.000
1779968548.1403408,5.056,4.450,44.600,226.000
1779968548.1435432,5.052,4.450,44.200,226.000
1779968548.147492,5.060,4.430,44.100,222.000
1779968548.1512334,5.056,4.420,44.600,226.000
1779968548.1544075,5.056,4.460,44.500,226.000
1779968548.1585336,5.056,4.470,44.700,226.000
1779968548.162234,5.056,4.450,44.500,226.000
1779968548.1654963,5.056,4.440,44.400,226.000
1779968548.1694403,5.056,4.470,44.700,226.000
1779968548.17242,5.056,4.440,44.400,226.000
1779968548.1764224,5.056,4.440,44.600,222.000
1779968548.1804793,5.056,4.440,44.500,226.000
1779968548.1836872,5.056,4.410,44.400,226.000
1779968548.187404,5.056,4.440,44.400,226.000
1779968548.191276,5.056,4.460,44.500,226.000
1779968548.1944382,5.056,4.460,44.200,222.000
1779968548.1983953,5.056,4.440,44.300,222.000
1779968548.2023604,5.056,4.440,44.500,226.000
1779968548.205439,5.056,4.450,44.800,226.000
1779968548.2094092,5.056,4.450,44.500,226.000
1779968548.2132978,5.060,4.430,44.400,226.000
1779968548.216511,5.060,4.420,44.400,226.000
1779968548.2204196,5.056,4.480,44.500,226.000
1779968548.2242556,5.056,4.440,44.500,226.000
1779968548.2274153,5.056,4.460,44.700,226.000
1779968548.2314885,5.056,4.430,44.400,226.000
1779968548.2351854,5.056,4.450,44.500,222.000
1779968548.2383826,5.056,4.480,44.700,226.000
1779968548.2424119,5.056,4.480,44.700,226.000
1779968548.2462323,5.056,4.460,44.300,222.000
1779968548.2493947,5.056,4.440,44.500,226.000
1779968548.253497,5.056,4.460,44.500,226.000
1779968548.25643,5.056,4.470,44.700,226.000
1779968548.2604184,5.056,4.450,44.700,226.000
1779968548.2643814,5.056,4.430,44.500,226.000
1779968548.267373,5.056,4.450,44.300,226.000
1779968548.2713885,5.056,4.450,44.500,226.000
1779968548.275466,5.056,4.470,44.400,226.000
1779968548.2783828,5.056,4.470,44.300,222.000
1779968548.2823598,5.056,4.430,44.200,222.000
1779968548.2862992,5.056,4.440,44.300,222.000
1779968548.2894447,5.056,4.450,44.700,226.000
1779968548.2934685,5.052,6.240,62.000,314.000
1779968548.297308,5.048,6.170,61.600,312.000
1779968548.300462,5.052,6.160,61.200,298.000
1779968548.3045263,5.056,4.550,47.200,240.000
1779968548.3082337,5.056,5.670,56.500,286.000
1779968548.3113701,5.052,4.590,56.800,250.000
1779968548.3154583,5.052,5.630,52.600,266.000
1779968548.3194547,5.048,5.610,50.400,282.000
1779968548.3223746,5.052,4.600,56.200,286.000
1779968548.326528,5.056,5.640,57.000,322.000
1779968548.3294172,5.052,6.220,62.200,314.000
1779968548.3335185,5.052,6.180,62.000,314.000
1779968548.3373694,5.052,6.240,62.400,258.000
1779968548.340369,5.052,5.280,57.100,288.000
1779968548.3444543,5.052,6.270,62.900,318.000
1779968548.3483415,5.052,6.240,62.600,314.000
1779968548.351421,5.048,6.230,59.500,314.000
1779968548.3561897,5.048,6.200,62.700,318.000
1779968548.3592732,5.044,7.920,78.300,396.000
1779968548.362478,5.052,6.200,59.600,302.000
1779968548.366413,5.048,6.310,62.900,318.000
1779968548.3702667,5.052,6.300,63.000,318.000
1779968548.3736148,5.048,6.340,57.400,288.000
1779968548.3774703,5.044,6.380,63.800,324.000
1779968548.3813686,5.048,6.430,64.600,328.000
1779968548.3845491,5.048,6.400,58.100,324.000
1779968548.3884861,5.048,6.430,64.400,324.000
1779968548.392167,5.048,6.510,65.100,328.000
1779968548.3953295,5.048,5.880,58.800,330.000
1779968548.3994484,5.052,6.530,65.100,328.000
1779968548.4023821,5.048,6.530,65.500,330.000
1779968548.4065015,5.048,6.250,66.300,334.000
1779968548.4104156,5.048,6.600,66.300,334.000
1779968548.413439,5.048,6.670,66.600,338.000
1779968548.4174223,5.048,6.660,61.300,308.000
1779968548.4213521,5.052,6.660,66.600,338.000
1779968548.4243927,5.044,6.700,67.100,338.000
1779968548.4284494,5.048,6.760,60.500,340.000
1779968548.4322822,5.048,6.770,67.800,340.000
1779968548.4355683,5.048,6.740,67.700,340.000
1779968548.439427,5.052,6.270,68.000,344.000
1779968548.4432411,5.048,6.830,68.600,348.000
1779968548.4464622,5.048,6.870,69.000,348.000
1779968548.4504914,5.048,6.420,68.700,348.000
1779968548.454173,5.044,6.890,68.900,348.000
1779968548.4575675,5.044,6.910,69.300,350.000
1779968548.4613466,5.048,6.680,69.000,354.000
1779968548.4644856,5.048,6.980,70.100,354.000
1779968548.4683447,5.044,6.980,70.100,354.000
1779968548.4724402,5.048,6.420,70.200,354.000
1779968548.4753947,5.048,7.030,70.900,358.000
1779968548.4794445,5.048,7.080,71.200,360.000
1779968548.4833443,5.048,6.160,71.200,360.000
1779968548.4864395,5.044,7.130,71.100,360.000
1779968548.4906712,5.044,7.150,71.500,360.000
1779968548.4943802,5.044,6.590,72.000,364.000
1779968548.4974434,5.044,7.220,72.500,368.000
1779968548.5013828,5.044,7.230,72.400,364.000
1779968548.5052688,5.044,7.260,72.500,368.000
1779968548.5085156,5.048,6.190,62.000,314.000
1779968548.5124254,5.052,6.260,62.600,314.000
1779968548.5156143,5.052,6.030,62.500,314.000
1779968548.5193622,5.052,6.260,61.800,312.000
1779968548.5235362,5.052,6.210,62.300,314.000
1779968548.5272446,5.056,5.580,46.400,286.000
1779968548.5304494,5.052,6.270,62.800,318.000
1779968548.5345263,5.052,6.230,62.500,314.000
1779968548.5381374,5.052,6.820,68.200,390.000
1779968548.5415192,5.048,7.160,72.400,364.000
1779968548.5454214,5.048,7.270,73.500,370.000
1779968548.5484881,5.048,7.310,73.600,370.000
1779968548.5523918,5.048,6.750,73.400,370.000
1779968548.5563643,5.048,7.310,73.500,370.000
1779968548.5594761,5.044,7.380,73.600,370.000
1779968548.5634289,5.044,7.390,74.100,374.000
1779968548.5672846,5.044,7.410,74.000,374.000
1779968548.570406,5.048,7.360,73.600,370.000
1779968548.5744932,5.048,7.360,73.800,374.000
1779968548.57836,5.048,7.380,73.900,374.000
1779968548.581447,5.044,7.410,74.100,374.000
